code,capital,latitude,longitude
AD,Andorra la Vella,42.5069391,1.5212467
AF,Kabul,34.5260131,69.1776476
AG,St. John's,47.561701,-52.715149
AL,Tirana,41.3279457,19.8185323
AM,Yerevan,40.1776121,44.5125849
AO,Luanda,-8.8272699,13.2439512
AR,Buenos Aires,-34.6075616,-58.437076
AT,Vienna,48.2083537,16.3725042
AU,Canberra,-35.2975906,149.1012676
AZ,Baku,40.3759646,49.8325808
BB,Bridgetown,13.0977832,-59.6184184
BD,Dhaka,23.7593572,90.3788136
BE,Brussels,50.8465573,4.351697
BF,Ouagadougou,12.368148,-1.527085
BG,Sofia,42.6978634,23.3221789
BH,Manama,26.2235041,50.5822436
BI,Bujumbura,-3.3638125,29.3675028
BJ,Porto-Novo,6.4990718,2.6253361
BN,Bandar Seri Begawan,4.8895453,114.9417574
BO,Sucre,-19.0477251,-65.2594306
BS,Nassau,40.7412643,-73.5877699
BT,Thimphu,27.4727617,89.629548
BW,Gaborone,-24.655319,25.908728
BY,Minsk,53.902334,27.5618791
BZ,Belmopan,17.250199,-88.770018
CA,Ottawa,45.421106,-75.690308
CD,Kinshasa,-4.3217055,15.3125974
CG,Brazzaville,-4.2694407,15.2712256
CI,Yamoussoukro,6.869145,-5.2823277
CL,Santiago,-33.4377968,-70.6504451
CN,Beijing,39.9059631,116.391248
